Details of Outward Supplies,Ledger,Customer name,GSTIN/UIN,Place of supply,Invoice Details,Tax invoice number,Invoice date,GL Date,Currency,Currency Rate,Invoice value (Foreign),Invoice value (INR),Rate,Taxable value  (Foreign),Taxable value (INR),IGST,IGST amount,CGST,CGST amount,SGST/UTGST,SGST/UTGST amount,CESS,Cess amount,D0138CR2002A02,Data_Column_25,Nature of supply,Nil Rated Supplies,Data_Column_28,Non GST supply,Type of Export,E-commerce Operator,Party Name,SEZ Flag,Party Number,GSTIN Number
Header Details,,,,,Invoice Details,,,,,,,,,,,IGST,,CGST,,SGST/UTGST,,CESS,,Shipping bill/ Bill of export details,,Nature of supply,,,,,,,,,
S.No,Ledger,Customer name,GSTIN/UIN,Place of supply,Invoice  number,Tax invoice number,Invoice date,GL Date,Currency,Currency Rate,Invoice value (Foreign),Invoice value (INR),Rate,Taxable value  (Foreign),Taxable value (INR),IGST rate,IGST amount,CGST rate,CGST amount,SGST/UTGST rate,SGST/UTGST amount,Cess rate,Cess amount,Shipping bill/ Bill of export number,Shipping bill/ Bill of export date,Zero Rated Supplies,Nil Rated Supplies,Exempted (Other than Nil rated/non-GST supply),Non GST supply,Type of Export,E-commerce Operator,,,,
1,‭0138‬,0003 - EATON CORPORATION,,,2401382241,,2025-02-01 00:00:00,2025-02-01 00:00:00,USD,85.61,2097585,179574251.85,0,2097585,179574251.85,0,0,,,,,,,,,,Yes,,,Export LUT sales,,,,,
2,‭0138‬,0270 - EATON INDIA INNOVATION CENTER LLP,27AAFFE4333D1ZT,Maharashtra,2401382261,,2025-02-01 00:00:00,2025-02-01 00:00:00,INR,,,267443,0,,267443,0,0,,,,,,,,,,Yes,,,Export LUT sales,,0270 - EATON INDIA INNOVATION CENTER LLP,Yes,115967.0,27AAFFE4333D1ZT
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,115723.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0238 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,125933.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,126293.0,27AABCE4323Q1ZE
3,‭0138‬,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382281,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36479.06,0,,36479.06,0,0,,,,,,,D0138CR2002A02,,,Yes,,,SEZ Supplies under LUT,,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,120229.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,115723.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0238 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,125933.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,126293.0,27AABCE4323Q1ZE
4,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382282,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,83370.67,0,,83370.67,0,0,,,,,,,D0138CR2002A03,,,Yes,,,SEZ Supplies under LUT,,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,120229.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,66859.89,0,,66859.89,0,0,,,,,,,D0138CR2002A04,,,Yes,,,SEZ Supplies under LUT,,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,115723.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,66859.89,0,,66859.89,0,0,,,,,,,D0138CR2002A04,,,Yes,,,SEZ Supplies under LUT,,0238 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,125933.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,66859.89,0,,66859.89,0,0,,,,,,,D0138CR2002A04,,,Yes,,,SEZ Supplies under LUT,,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,126293.0,27AABCE4323Q1ZE
5,‭0138‬,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382283,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,66859.89,0,,66859.89,0,0,,,,,,,D0138CR2002A04,,,Yes,,,SEZ Supplies under LUT,,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,120229.0,27AABCE4323Q1ZE
6,‭0138‬,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382284,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36949.77,0,,36949.77,0,0,,,,,,,D0138CR2002A05,,,Yes,,,SEZ Supplies under LUT,,0231 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,115723.0,27AABCE4323Q1ZE
6,‭0138‬,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382284,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36949.77,0,,36949.77,0,0,,,,,,,D0138CR2002A05,,,Yes,,,SEZ Supplies under LUT,,0238 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,125933.0,27AABCE4323Q1ZE
6,‭0138‬,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382284,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36949.77,0,,36949.77,0,0,,,,,,,D0138CR2002A05,,,Yes,,,SEZ Supplies under LUT,,0255 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,126293.0,27AABCE4323Q1ZE
6,‭0138‬,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,27AABCE4323Q1ZE,Maharashtra,2401382284,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,36949.77,0,,36949.77,0,0,,,,,,,D0138CR2002A05,,,Yes,,,SEZ Supplies under LUT,,0269 - EATON TECHNOLOGIES PRIVATE LIMITED,Yes,120229.0,27AABCE4323Q1ZE
7,‭0138‬,1092 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382285,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,209158.53,0.18,,177252.99,,,0.09,15952.77,0.09,15952.77,,,D0138CR2002A06,,,,,,SEZ Supplies under LUT,,,,,
8,‭0138‬,2090 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382286,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,275039.19,0.18,,233084.07,,,0.09,20977.56,0.09,20977.56,,,D0138CR2002A09,,,,,,SEZ Supplies under LUT,,,,,
9,‭0138‬,3812 - EATON INDUSTRIAL PRODUCTS PVT. LTD,27AAACI7539R1ZT,Maharashtra,2401382287,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,57300.78,0.18,,48559.98,,,0.09,4370.4,0.09,4370.4,,,D0138CR2002A10,,,,,,SEZ Supplies under LUT,,,,,
10,‭0138‬,0225 - EATON MANAGEMENT SERVICES LLP,27AAGFE3119C1ZW,Maharashtra,2401382288,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,38702.94,0.18,,32799.1,,,0.09,2951.92,0.09,2951.92,,,D0138CR2002A11,,,,,,SEZ Supplies under LUT,,,,,
11,‭0138‬,4488 - EATON POWER QUALITY PRIVATE LIMITED,34AAACC6943R1Z6,Puducherry,2401382289,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,1933229.68,0.18,,1638330.24,0.18,294899.44,,,,,,,D0138CR2002A13,,,,,,SEZ Supplies under LUT,,,,,
12,‭0138‬,7006 - MTL INSTRUMENTS PRIVATE LIMITED,33AAACM2555R1Z6,Tamil Nadu,2401382290,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,276029.21,0.18,,233923.06,0.18,42106.15,,,,,,,D0138CR2002A14,,,,,,SEZ Supplies under LUT,,,,,
13,‭0138‬,0270 - EATON INDIA INNOVATION CENTER LLP,27AAFFE4333D1ZT,Maharashtra,2401382291,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,289299.75,0,,289299.75,0,0,,,,,,,D0138CR2002A15,,,Yes,,,SEZ Supplies under LUT,,0270 - EATON INDIA INNOVATION CENTER LLP,Yes,115967.0,27AAFFE4333D1ZT
14,‭0138‬,5020 - EATON INDUSTRIAL PRODUCTS PRIVATE LIMITED,29AAACI7539R2ZO,Karnataka,2401382292,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,97580.77,0,,97580.77,0,0,,,,,,,D0138CR2002A14,,,Yes,,,SEZ Supplies under LUT,,5020 - EATON INDUSTRIAL PRODUCTS PRIVATE LIMITED,Yes,1127114.0,29AAACI7539R2ZO
15,‭0138‬,5166 - SOURIAU INDIA PVT,33AAACO2681G1ZO,Tamil Nadu,2401382293,,2025-02-12 00:00:00,2025-02-13 00:00:00,INR,,,144213.96,0.18,,122215.22,0.18,21998.74,,,,,,,D0138CR2002A16,,,,,,SEZ Supplies under LUT,,,,,
16,‭0138‬,1092 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382301,,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,,,34545.68,0.18,,29276,,,0.09,2634.84,0.09,2634.84,,,D0138CR202S01,,,,,,SEZ Supplies under LUT,,,,,
17,‭0138‬,2090 - EATON INDUSTRIAL SYSTEMS PRIVATE LIMITED,27AABCE4955C1ZT,Maharashtra,2401382302,,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,,,18187.34,0.18,,15413,,,0.09,1387.17,0.09,1387.17,,,D0138CR202S03,,,,,,SEZ Supplies under LUT,,,,,
18,‭0138‬,0225 - EATON MANAGEMENT SERVICES LLP,27AAGFE3119C1ZW,Maharashtra,2401382303,,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,,,1952.9,0.18,,1655,,,0.09,148.95,0.09,148.95,,,D0138CR202S05,,,,,,SEZ Supplies under LUT,,,,,
19,‭0138‬,4488 - EATON POWER QUALITY PRIVATE LIMITED,34AAACC6943R1Z6,Puducherry,2401382304,,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,,,63841.54,0.18,,54103,0.18,9738.54,,,,,,,D0138CR202S07,,,,,,SEZ Supplies under LUT,,,,,
20,‭0138‬,7006 - MTL INSTRUMENTS PRIVATE LIMITED,33AAACM2555R1Z6,Tamil Nadu,2401382305,,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,,,19408.64,0.18,,16448,0.18,2960.64,,,,,,,D0138CR202S08,,,,,,SEZ Supplies under LUT,,,,,
21,‭0138‬,0270 - EATON INDIA INNOVATION CENTER LLP,27AAFFE4333D1ZT,Maharashtra,2401382306,,2025-02-12 00:00:00,2025-02-14 00:00:00,INR,,,221274,0,,221274,0,0,,,,,,,D0138CR202S09,,,Yes,,,SEZ Supplies under LUT,,0270 - EATON INDIA INNOVATION CENTER LLP,Yes,115967.0,27AAFFE4333D1ZT
